raw_SMILES,reaxys_id,SMILES,cas_number
BrC1=NC=CC=C1,105789,Brc1ccccn1,109-04-6
BrC1=CN=CC=C1,105880,Brc1cccnc1,626-55-1
BrC1=CC=CS1,104663,Brc1cccs1,1003-09-4
BrC1=CC=C2NC=CC2=C1,112877,Brc1ccc2[nH]ccc2c1,10075-50-0
BrC1=CSC=C1,105338,Brc1ccsc1,872-31-1
NC1=NC=C(Br)C=C1,108737,Nc1ccc(Br)cn1,1072-97-5
BrC1=CC2=C(C=C1)N(C1=C2C=CC=C1)C1=CC=CC=C1,1315492,Brc1ccc2c(c1)c1ccccc1n2-c1ccccc1,1153-85-1
BrC1=C2N=CC=NC2=CC=C1NC1=NCCN1,751629,Brc1c(NC2=NCCN2)ccc2nccnc12,59803-98-4
OC[C@H]1O[C@@H](OC2=CNC3=C2C(Cl)=C(Br)C=C3)[C@H](O)[C@@H](O)[C@H]1O,1552604,OC[C@H]1O[C@@H](Oc2c[nH]c3ccc(Br)c(Cl)c23)[C@H](O)[C@@H](O)[C@H]1O,7240-90-6
BrC1=CN=CN=C1,107326,Brc1cncnc1,4595-59-9
BrC1=NC=CS1,105724,Brc1nccs1,3034-53-5
BrC1=CC2=CC=CC=C2N=C1,112939,Brc1cnc2ccccc2c1,5332-24-1
CC1=CC(=CC(C)=C1OC1=NC(NC2=CC=C(C=C2)C#N)=NC(N)=C1Br)C#N,8945855,Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(N)c1Br,269055-15-4
BrC1=CC2=C(NC3=C2C=CC=C3)C=C1,142195,Brc1ccc2[nH]c3ccccc3c2c1,1592-95-6
BrC1=CC=C(S1)C=O,108404,O=Cc1ccc(Br)s1,4701-17-1
BrC1=CC=NC=C1,1563,Brc1ccncc1,1120-87-2
CCOCN1C(=C(C#N)C(Br)=C1C(F)(F)F)C1=CC=C(Cl)C=C1,6940152,CCOCn1c(-c2ccc(Cl)cc2)c(C#N)c(Br)c1C(F)(F)F,122453-73-0
BrC1=CC2=C(OC3=CC=CC=C23)C=C1,142199,Brc1ccc2oc3ccccc3c2c1,86-76-0
BrC1=NC=CC=N1,605945,Brc1ncccn1,4595-60-2
ClC1=NC=C(Br)C=N1,507955,Clc1ncc(Br)cn1,32779-36-5
ClC1=NC=C(Br)C(Cl)=N1,124441,Clc1ncc(Br)c(Cl)n1,36082-50-5
BrC1=CC=C2C=CNC2=C1,112711,Brc1ccc2cc[nH]c2c1,52415-29-9
CC1=CC=CC(Br)=N1,107322,Cc1cccc(Br)n1,5315-25-3
BrC1=CNN=C1,106510,Brc1cn[nH]c1,2075-45-8
CNC(=O)C1=CC(Cl)=CC(C)=C1NC(=O)C1=CC(Br)=NN1C1=C(Cl)C=CC=N1,11247880,CNC(=O)c1cc(Cl)cc(C)c1NC(=O)c1cc(Br)nn1-c1ncccc1Cl,500008-45-7
CC1=CN=C(Br)C=C1,107323,Cc1ccc(Br)nc1,3510-66-5
