DrugBank ID,Name,CAS Number,Drug Groups,ori_SMILES,SMILES
DB00114,Pyridoxal phosphate,54-47-7,approved; investigational; nutraceutical,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00116,Tetrahydrofolic acid,135-16-0,nutraceutical,NC1=NC(=O)C2=C(NCC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N2)N1,Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2
DB00117,Histidine,71-00-1,investigational; nutraceutical,N[C@@H](CC1=CNC=N1)C(O)=O,NC(Cc1c[nH]cn1)C(=O)O
DB00118,Ademetionine,29908-03-0,approved; investigational; nutraceutical,C[S+](CC[C@H](N)C([O-])=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N,C[S+](CCC(N)C(=O)[O-])CC1OC(n2cnc3c(N)ncnc32)C(O)C1O
DB00119,Pyruvic acid,127-17-3,approved; investigational; nutraceutical,CC(=O)C(O)=O,CC(=O)C(=O)O
DB00120,Phenylalanine,63-91-2,approved; investigational; nutraceutical,N[C@@H](CC1=CC=CC=C1)C(O)=O,NC(Cc1ccccc1)C(=O)O
DB00121,Biotin,58-85-5,approved; investigational; nutraceutical,[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2,O=C(O)CCCCC1SCC2NC(=O)NC21
DB00122,Choline,62-49-7,approved; nutraceutical,C[N+](C)(C)CCO,C[N+](C)(C)CCO
DB00123,Lysine,56-87-1,approved; nutraceutical,NCCCC[C@H](N)C(O)=O,NCCCCC(N)C(=O)O
DB00125,Arginine,74-79-3,investigational; nutraceutical,N[C@@H](CCCNC(N)=N)C(O)=O,N=C(N)NCCCC(N)C(=O)O
DB00126,Ascorbic acid,50-81-7,approved; nutraceutical,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,O=C1OC(C(O)CO)C(O)=C1O
DB00127,Spermine,71-44-3,experimental; nutraceutical,NCCCNCCCCNCCCN,NCCCNCCCCNCCCN
DB00128,Aspartic acid,56-84-8,approved; nutraceutical,N[C@@H](CC(O)=O)C(O)=O,NC(CC(=O)O)C(=O)O
DB00129,Ornithine,70-26-8,approved; nutraceutical,NCCC[C@H](N)C(O)=O,NCCCC(N)C(=O)O
DB00130,L-Glutamine,56-85-9,approved; investigational; nutraceutical,N[C@@H](CCC(N)=O)C(O)=O,NC(=O)CCC(N)C(=O)O
DB00131,Adenosine phosphate,61-19-8,approved; investigational; nutraceutical,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O
DB00132,alpha-Linolenic acid,463-40-1,approved; investigational; nutraceutical,CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O,CCC=CCC=CCC=CCCCCCCCC(=O)O
DB00133,Serine,56-45-1,investigational; nutraceutical,N[C@@H](CO)C(O)=O,NC(CO)C(=O)O
DB00134,Methionine,63-68-3,approved; nutraceutical,CSCC[C@H](N)C(O)=O,CSCCC(N)C(=O)O
DB00135,Tyrosine,60-18-4,approved; investigational; nutraceutical,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,NC(Cc1ccc(O)cc1)C(=O)O
DB00136,Calcitriol,32222-06-3,approved; nutraceutical,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O
DB00137,Lutein,127-40-2,approved; investigational; nutraceutical,C\C(\C=C\C=C(/C)\C=C\[C@H]1C(C)=C[C@H](O)CC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C,CC(C=CC=C(C)C=CC1=C(C)CC(O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1C(C)=CC(O)CC1(C)C
DB00138,Cystine,56-89-3,approved; nutraceutical,N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O,NC(CSSCC(N)C(=O)O)C(=O)O
DB00139,Succinic acid,110-15-6,approved; nutraceutical,OC(=O)CCC(O)=O,O=C(O)CCC(=O)O
